example,percentile,time_seconds,axis,target,metadata,content,residual,sam
A,25,30,valence,195.0,195.73287963867188,184.51229858398438,184.51229858398438,184.9442901611328
A,25,30,arousal,198.0,182.4371337890625,164.7500457763672,164.7500457763672,190.047607421875
A,25,31,valence,197.0,196.5977020263672,186.38790893554688,186.38790893554688,185.7745361328125
A,25,31,arousal,184.0,184.56021118164062,167.97317504882812,167.97317504882812,190.53958129882812
A,25,32,valence,197.0,197.55076599121094,186.70257568359375,186.70257568359375,186.5142822265625
A,25,32,arousal,184.0,186.6452178955078,168.50003051757812,168.50003051757812,190.96095275878906
A,25,33,valence,197.0,199.12986755371094,189.5406494140625,189.5406494140625,187.1299285888672
A,25,33,arousal,184.0,188.347412109375,170.25003051757812,170.25003051757812,191.18003845214844
A,25,34,valence,197.0,200.49143981933594,198.70965576171875,198.70965576171875,187.70892333984375
A,25,34,arousal,184.0,189.5091552734375,170.25003051757812,170.25003051757812,191.31460571289062
A,25,35,valence,197.0,201.861572265625,199.3367919921875,199.3367919921875,188.2115478515625
A,25,35,arousal,184.0,190.52685546875,171.75003051757812,171.75003051757812,191.59771728515625
A,25,36,valence,197.0,203.03599548339844,200.2431640625,200.2431640625,188.63949584960938
A,25,36,arousal,184.0,191.24911499023438,171.75003051757812,171.75003051757812,191.87936401367188
A,25,37,valence,197.0,204.26475524902344,200.46444702148438,200.46444702148438,189.01510620117188
A,25,37,arousal,184.0,191.53778076171875,174.00003051757812,174.00003051757812,192.14141845703125
A,25,38,valence,197.0,205.70867919921875,200.8854522705078,200.8854522705078,189.36935424804688
A,25,38,arousal,184.0,191.68359375,174.0372314453125,174.0372314453125,192.26783752441406
A,25,39,valence,197.0,206.89254760742188,201.22833251953125,201.22833251953125,189.64697265625
A,25,39,arousal,184.0,191.79367065429688,177.50001525878906,177.50001525878906,192.3807830810547
A,25,40,valence,197.0,207.88015747070312,202.36614990234375,202.36614990234375,189.88751220703125
A,25,40,arousal,184.0,192.9394989013672,177.7169647216797,177.7169647216797,192.38357543945312
A,25,41,valence,197.0,208.532470703125,209.1194610595703,209.1194610595703,190.10728454589844
A,25,41,arousal,184.0,193.89727783203125,186.5,186.5,192.3032684326172
A,25,42,valence,197.0,209.37396240234375,204.83770751953125,204.83770751953125,190.30126953125
A,25,42,arousal,184.0,194.559326171875,188.75,188.75,192.03260803222656
A,25,43,valence,197.0,210.05548095703125,210.30722045898438,210.30722045898438,190.5032196044922
A,25,43,arousal,184.0,195.07142639160156,189.0,189.0,191.68136596679688
A,25,44,valence,197.0,210.88311767578125,211.06532287597656,211.06532287597656,190.73123168945312
A,25,44,arousal,184.0,195.66232299804688,189.75,189.75,191.38229370117188
A,25,45,valence,197.0,211.572021484375,211.20310974121094,211.20310974121094,190.95504760742188
A,25,45,arousal,184.0,196.53512573242188,189.75,189.75,191.14013671875
A,25,46,valence,197.0,212.18948364257812,211.32659912109375,211.32659912109375,191.1846466064453
A,25,46,arousal,208.0,197.54278564453125,189.5,189.5,190.8450927734375
A,25,47,valence,197.0,212.6077423095703,212.59686279296875,212.59686279296875,191.42562866210938
A,25,47,arousal,208.0,198.00413513183594,189.66116333007812,189.66116333007812,190.616943359375
A,25,48,valence,197.0,213.09710693359375,214.310791015625,214.310791015625,191.62171936035156
A,25,48,arousal,208.0,198.60980224609375,189.5,189.5,190.39146423339844
A,25,49,valence,197.0,213.44363403320312,213.0140380859375,213.0140380859375,191.7970428466797
A,25,49,arousal,208.0,199.22195434570312,189.5,189.5,190.30294799804688
A,25,50,valence,197.0,213.94126892089844,214.447265625,214.447265625,192.02297973632812
A,25,50,arousal,208.0,199.70660400390625,189.5,189.5,190.36329650878906
A,25,51,valence,197.0,214.00296020507812,214.45960998535156,214.45960998535156,192.25204467773438
A,25,51,arousal,208.0,200.18328857421875,189.5,189.5,190.66500854492188
A,25,52,valence,197.0,214.24676513671875,212.13803100585938,212.13803100585938,192.52525329589844
A,25,52,arousal,208.0,200.66587829589844,191.0,191.0,191.17515563964844
A,25,53,valence,197.0,214.47402954101562,216.134033203125,216.134033203125,192.91200256347656
A,25,53,arousal,208.0,201.2196044921875,191.0,191.0,191.84715270996094
A,25,54,valence,197.0,214.55844116210938,215.9918212890625,215.9918212890625,193.34375
A,25,54,arousal,208.0,201.59031677246094,191.74998474121094,191.74998474121094,192.606201171875
A,25,55,valence,197.0,214.82142639160156,215.81698608398438,215.81698608398438,193.82090759277344
A,25,55,arousal,208.0,201.782470703125,190.99996948242188,190.99996948242188,193.3895263671875
A,25,56,valence,197.0,215.0360107421875,217.04641723632812,217.04641723632812,194.34228515625
A,25,56,arousal,208.0,201.61688232421875,190.99996948242188,190.99996948242188,194.3287353515625
A,25,57,valence,197.0,215.1351776123047,217.06625366210938,217.06625366210938,194.90972900390625
A,25,57,arousal,208.0,201.51947021484375,190.84707641601562,190.84707641601562,195.338623046875
A,25,58,valence,197.0,215.388427734375,216.32872009277344,216.32872009277344,195.4778289794922
A,25,58,arousal,208.0,201.22254943847656,191.25,191.25,196.4351043701172
A,25,59,valence,197.0,215.09681701660156,216.2734375,216.2734375,196.09544372558594
A,25,59,arousal,208.0,200.3001708984375,191.25001525878906,191.25001525878906,197.6739501953125
A,25,60,valence,197.0,214.89935302734375,216.23394775390625,216.23394775390625,196.74752807617188
A,25,60,arousal,208.0,199.41439819335938,191.25001525878906,191.25001525878906,198.96286010742188
A,25,61,valence,197.0,215.0103302001953,215.38558959960938,215.38558959960938,197.3922119140625
A,25,61,arousal,208.0,198.90200805664062,188.50003051757812,188.50003051757812,200.35557556152344
A,25,62,valence,197.0,214.81671142578125,215.7094268798828,215.7094268798828,198.04737854003906
A,25,62,arousal,208.0,199.06317138671875,187.75003051757812,187.75003051757812,201.7877197265625
A,25,63,valence,197.0,214.62307739257812,216.23365783691406,216.23365783691406,198.6488037109375
A,25,63,arousal,208.0,199.32142639160156,187.9979705810547,187.9979705810547,203.07110595703125
A,25,64,valence,197.0,214.36953735351562,216.18487548828125,216.18487548828125,199.1353759765625
A,25,64,arousal,208.0,199.65939331054688,191.25001525878906,191.25001525878906,204.3541259765625
A,25,65,valence,197.0,213.8196563720703,213.70455932617188,213.70455932617188,199.54345703125
A,25,65,arousal,208.0,199.52125549316406,190.50001525878906,190.50001525878906,205.6519012451172
A,25,66,valence,197.0,213.28895568847656,215.60960388183594,215.60960388183594,199.87481689453125
A,25,66,arousal,208.0,199.27597045898438,190.00003051757812,190.00003051757812,206.96209716796875
A,25,67,valence,197.0,212.97608947753906,211.5605926513672,211.5605926513672,200.1282958984375
A,25,67,arousal,208.0,198.8034210205078,187.75003051757812,187.75003051757812,208.19656372070312
A,25,68,valence,197.0,212.994384765625,211.5642547607422,211.5642547607422,200.30267333984375
A,25,68,arousal,208.0,198.3665771484375,187.75003051757812,187.75003051757812,209.4551544189453
A,25,69,valence,197.0,213.55313110351562,213.65126037597656,213.65126037597656,200.41986083984375
A,25,69,arousal,208.0,198.22991943359375,187.75003051757812,187.75003051757812,210.5178985595703
A,25,70,valence,197.0,214.46694946289062,213.84886169433594,213.84886169433594,200.468994140625
A,25,70,arousal,208.0,198.51327514648438,187.75003051757812,187.75003051757812,211.48974609375
A,25,71,valence,197.0,215.21456909179688,214.1959228515625,214.1959228515625,200.462890625
A,25,71,arousal,208.0,198.796630859375,187.7500457763672,187.7500457763672,212.40505981445312
A,25,72,valence,197.0,215.37957763671875,210.08596801757812,210.08596801757812,200.4154052734375
A,25,72,arousal,208.0,199.17857360839844,187.75006103515625,187.75006103515625,213.268310546875
A,25,73,valence,197.0,215.36599731445312,210.09051513671875,210.09051513671875,200.33279418945312
A,25,73,arousal,208.0,199.5501708984375,187.75006103515625,187.75006103515625,214.1905517578125
A,25,74,valence,197.0,215.55401611328125,208.94296264648438,208.94296264648438,200.2446746826172
A,25,74,arousal,208.0,199.85418701171875,187.7500457763672,187.7500457763672,215.14398193359375
A,25,75,valence,197.0,215.44390869140625,208.92837524414062,208.92837524414062,200.18231201171875
A,25,75,arousal,195.0,200.158203125,187.7500457763672,187.7500457763672,216.00311279296875
A,25,76,valence,197.0,215.27174377441406,208.89393615722656,208.89393615722656,200.1475830078125
A,25,76,arousal,195.0,200.4145965576172,187.7500457763672,187.7500457763672,216.81546020507812
A,25,77,valence,197.0,215.20843505859375,208.89610290527344,208.89610290527344,200.14700317382812
A,25,77,arousal,180.0,200.67337036132812,187.7500457763672,187.7500457763672,217.5778350830078
A,25,78,valence,197.0,215.3062286376953,208.91566467285156,208.91566467285156,200.18832397460938
A,25,78,arousal,180.0,200.96310424804688,187.0000457763672,187.0000457763672,218.19268798828125
A,25,79,valence,197.0,215.44998168945312,206.5740966796875,206.5740966796875,200.27171325683594
A,25,79,arousal,190.0,201.05282592773438,186.2500457763672,186.2500457763672,218.70346069335938
A,25,80,valence,197.0,215.74069213867188,207.08575439453125,207.08575439453125,200.3944091796875
A,25,80,arousal,190.0,201.14256286621094,186.2500457763672,186.2500457763672,219.13490295410156
A,25,81,valence,197.0,216.03143310546875,207.35765075683594,207.35765075683594,200.56344604492188
A,25,81,arousal,190.0,201.2322998046875,186.2500457763672,186.2500457763672,219.5227508544922
A,25,82,valence,197.0,216.17930603027344,207.73800659179688,207.73800659179688,200.7784423828125
A,25,82,arousal,190.0,200.92916870117188,186.25006103515625,186.25006103515625,219.85263061523438
A,25,83,valence,197.0,216.12086486816406,205.35897827148438,205.35897827148438,201.0330810546875
A,25,83,arousal,190.0,200.5,178.00006103515625,178.00006103515625,220.14840698242188
A,25,84,valence,197.0,216.2389373779297,203.60610961914062,203.60610961914062,201.33682250976562
A,25,84,arousal,190.0,200.0661163330078,178.00006103515625,178.00006103515625,220.45199584960938
A,25,85,valence,197.0,216.42311096191406,207.79098510742188,207.79098510742188,201.68966674804688
A,25,85,arousal,190.0,199.7373046875,178.00006103515625,178.00006103515625,220.7678680419922
A,25,86,valence,197.0,216.5760040283203,207.85865783691406,207.85865783691406,202.08160400390625
A,25,86,arousal,190.0,199.74911499023438,178.75006103515625,178.75006103515625,221.18414306640625
A,25,87,valence,197.0,216.6993865966797,207.88333129882812,207.88333129882812,202.5096435546875
A,25,87,arousal,190.0,200.0546112060547,186.50624084472656,186.50624084472656,221.68844604492188
A,25,88,valence,197.0,216.722412109375,207.887939453125,207.887939453125,202.93704223632812
A,25,88,arousal,190.0,200.4805145263672,186.7500457763672,186.7500457763672,222.25436401367188
A,25,89,valence,197.0,216.86172485351562,207.91580200195312,207.91580200195312,203.35317993164062
A,25,89,arousal,190.0,201.29928588867188,188.50006103515625,188.50006103515625,222.88510131835938
A,25,90,valence,197.0,216.73155212402344,207.8897705078125,207.8897705078125,203.75987243652344
A,25,90,arousal,190.0,201.67501831054688,188.50006103515625,188.50006103515625,223.53366088867188
A,25,91,valence,197.0,216.35137939453125,201.9027862548828,201.9027862548828,204.16488647460938
A,25,91,arousal,190.0,201.9763946533203,180.25006103515625,180.25006103515625,224.1264190673828
A,25,92,valence,197.0,215.97122192382812,201.86386108398438,201.86386108398438,204.55459594726562
A,25,92,arousal,190.0,201.9176483154297,180.25006103515625,180.25006103515625,224.69064331054688
A,25,93,valence,197.0,215.9481964111328,201.86666870117188,201.86666870117188,204.9104766845703
A,25,93,arousal,190.0,201.50177001953125,180.25006103515625,180.25006103515625,225.24176025390625
A,25,94,valence,197.0,215.9251708984375,207.78640747070312,207.78640747070312,205.20669555664062
A,25,94,arousal,190.0,200.67147827148438,180.2500762939453,180.2500762939453,225.6392059326172
A,25,95,valence,197.0,215.8422393798828,207.768798828125,207.768798828125,205.41502380371094
A,25,95,arousal,190.0,199.81521606445312,180.2500762939453,180.2500762939453,225.94622802734375
A,25,96,valence,197.0,215.69378662109375,207.73912048339844,207.73912048339844,205.55471801757812
A,25,96,arousal,190.0,198.9734344482422,178.0000762939453,178.0000762939453,226.14976501464844
A,25,97,valence,197.0,215.90245056152344,208.37342834472656,208.37342834472656,205.62062072753906
A,25,97,arousal,190.0,198.63784790039062,178.0000762939453,178.0000762939453,226.15887451171875
A,25,98,valence,197.0,216.1111297607422,208.4151611328125,208.4151611328125,205.62255859375
A,25,98,arousal,190.0,198.29605102539062,178.0000762939453,178.0000762939453,226.05657958984375
A,25,99,valence,197.0,216.31979370117188,208.45689392089844,208.45689392089844,205.6094207763672
A,25,99,arousal,190.0,198.32467651367188,178.0000762939453,178.0000762939453,225.85595703125
A,25,100,valence,197.0,216.1878662109375,211.38539123535156,211.38539123535156,205.5875244140625
A,25,100,arousal,190.0,198.3975830078125,184.75006103515625,184.75006103515625,225.42572021484375
A,25,101,valence,197.0,216.08929443359375,211.35638427734375,211.35638427734375,205.55406188964844
A,25,101,arousal,190.0,198.47048950195312,179.00006103515625,179.00006103515625,224.96237182617188
A,25,102,valence,197.0,216.125,211.363525390625,211.363525390625,205.5067901611328
A,25,102,arousal,190.0,198.54339599609375,179.00006103515625,179.00006103515625,224.41790771484375
A,25,103,valence,197.0,216.02581787109375,210.1585235595703,210.1585235595703,205.49395751953125
A,25,103,arousal,190.0,198.7012939453125,185.7500457763672,185.7500457763672,223.76974487304688
A,25,104,valence,197.0,215.875,211.3061065673828,211.3061065673828,205.52801513671875
A,25,104,arousal,190.0,198.8674774169922,185.7500457763672,185.7500457763672,223.120361328125
A,25,105,valence,197.0,215.875,211.3061065673828,211.3061065673828,205.66387939453125
A,25,105,arousal,192.0,199.02862548828125,185.7500457763672,185.7500457763672,222.5277099609375
A,25,106,valence,197.0,215.93344116210938,211.32351684570312,211.32351684570312,205.91763305664062
A,25,106,arousal,205.0,199.52716064453125,188.0000457763672,188.0000457763672,221.84893798828125
A,25,107,valence,197.0,216.1866912841797,211.3853302001953,211.3853302001953,206.25120544433594
A,25,107,arousal,208.0,200.13723754882812,188.0000457763672,188.0000457763672,221.17913818359375
A,25,108,valence,197.0,216.43994140625,211.0406951904297,211.0406951904297,206.67022705078125
A,25,108,arousal,208.0,200.83766174316406,189.89675903320312,189.89675903320312,220.57308959960938
A,25,109,valence,197.0,216.80032348632812,211.44378662109375,211.44378662109375,207.11581420898438
A,25,109,arousal,208.0,201.5879669189453,190.2500457763672,190.2500457763672,219.9467010498047
A,25,110,valence,197.0,217.16070556640625,211.52703857421875,211.52703857421875,207.5611572265625
A,25,110,arousal,208.0,202.32467651367188,190.72731018066406,190.72731018066406,219.46768188476562
A,25,111,valence,197.0,217.66395568847656,211.63473510742188,211.63473510742188,207.99745178222656
A,25,111,arousal,208.0,202.80844116210938,191.0000457763672,191.0000457763672,219.02838134765625
A,25,112,valence,197.0,218.0461883544922,211.76754760742188,211.76754760742188,208.4347381591797
A,25,112,arousal,208.0,203.1883087158203,191.0000457763672,191.0000457763672,218.58460998535156
A,25,113,valence,197.0,218.31686401367188,211.76974487304688,211.76974487304688,208.8798370361328
A,25,113,arousal,208.0,203.47962951660156,191.0000457763672,191.0000457763672,218.26939392089844
A,25,114,valence,197.0,218.70941162109375,211.9001922607422,211.9001922607422,209.2577667236328
A,25,114,arousal,208.0,203.60537719726562,191.0000457763672,191.0000457763672,218.00033569335938
A,25,115,valence,206.0,219.09873962402344,212.0077362060547,212.0077362060547,209.57330322265625
A,25,115,arousal,208.0,203.6310577392578,191.0000457763672,191.0000457763672,217.75851440429688
A,25,116,valence,206.0,219.21620178222656,212.03123474121094,212.03123474121094,209.79702758789062
A,25,116,arousal,208.0,203.573486328125,188.75006103515625,188.75006103515625,217.52784729003906
A,25,117,valence,206.0,219.29855346679688,212.04769897460938,212.04769897460938,209.92178344726562
A,25,117,arousal,208.0,203.49586486816406,188.4401397705078,188.4401397705078,217.27764892578125
A,25,118,valence,206.0,219.29055786132812,212.0460968017578,212.0460968017578,209.9561309814453
A,25,118,arousal,208.0,203.49691772460938,188.0000762939453,188.0000762939453,217.06187438964844
A,25,119,valence,206.0,219.27981567382812,212.0439453125,212.0439453125,209.88490295410156
A,25,119,arousal,208.0,203.6395263671875,188.0000762939453,188.0000762939453,216.8812255859375
A,25,120,valence,206.0,219.26611328125,212.03945922851562,212.03945922851562,209.81259155273438
A,25,120,arousal,208.0,203.79409790039062,190.70254516601562,190.70254516601562,216.79193115234375
A,25,121,valence,206.0,219.25,212.01820373535156,212.01820373535156,209.74551391601562
A,25,121,arousal,208.0,204.33929443359375,191.00006103515625,191.00006103515625,216.71437072753906
B,50,0,valence,128.0,128.0,128.0,128.0,128.48895263671875
B,50,0,arousal,128.0,128.0,128.0,128.0,126.2508316040039
B,50,1,valence,128.0,128.0,128.0,128.0,128.19454956054688
B,50,1,arousal,128.0,128.0,128.0,128.0,126.21775817871094
B,50,2,valence,128.0,128.0,128.0,128.0,127.87211608886719
B,50,2,arousal,128.0,128.0,128.0,128.0,126.1885986328125
B,50,3,valence,128.0,128.0,128.0,128.0,127.51885223388672
B,50,3,arousal,128.0,128.0,128.0,128.0,126.14960479736328
B,50,4,valence,128.0,128.0,128.0,128.0,127.13155364990234
B,50,4,arousal,128.0,128.0,128.0,128.0,126.10195922851562
B,50,5,valence,125.0,128.0,128.0,128.0,126.70343780517578
B,50,5,arousal,128.0,128.0,128.0,128.0,126.0460205078125
B,50,6,valence,109.0,128.0,128.0,128.0,126.23632049560547
B,50,6,arousal,128.0,128.0,128.0,128.0,125.98773956298828
B,50,7,valence,83.0,128.0,128.0,128.0,125.77751159667969
B,50,7,arousal,128.0,128.0,128.0,128.0,125.94855499267578
B,50,8,valence,83.0,128.0,128.0,128.0,125.32714080810547
B,50,8,arousal,128.0,128.0,128.0,128.0,125.91742706298828
B,50,9,valence,83.0,128.0,128.0,128.0,124.885009765625
B,50,9,arousal,128.0,128.0,128.0,128.0,125.8850326538086
B,50,10,valence,76.0,128.0,128.0,128.0,124.45210266113281
B,50,10,arousal,153.0,128.0,128.0,128.0,125.84403228759766
B,50,11,valence,76.0,128.0,128.0,128.0,124.01333618164062
B,50,11,arousal,153.0,128.0,128.0,128.0,125.78509521484375
B,50,12,valence,72.0,128.0,128.0,128.0,123.53917694091797
B,50,12,arousal,158.0,128.0,128.0,128.0,125.72003173828125
B,50,13,valence,72.0,128.0,128.0,128.0,123.02962493896484
B,50,13,arousal,158.0,128.0,128.0,128.0,125.64970397949219
B,50,14,valence,72.0,128.0,128.0,128.0,122.48551177978516
B,50,14,arousal,158.0,128.0,128.0,128.0,125.58120727539062
B,50,15,valence,72.0,128.0,128.0,128.0,121.9068374633789
B,50,15,arousal,158.0,128.0,128.0,128.0,125.5421142578125
B,50,16,valence,72.0,128.0,128.0,128.0,121.29783630371094
B,50,16,arousal,165.0,128.0,128.0,128.0,125.5054931640625
B,50,17,valence,64.0,128.0,128.0,128.0,120.656982421875
B,50,17,arousal,175.0,128.0,128.0,128.0,125.50328826904297
B,50,18,valence,64.0,128.0,128.0,128.0,119.95842742919922
B,50,18,arousal,175.0,128.0,128.0,128.0,125.49803161621094
B,50,19,valence,64.0,128.0,128.0,128.0,119.19882202148438
B,50,19,arousal,175.0,128.0,128.0,128.0,125.52745056152344
B,50,20,valence,64.0,128.0,128.0,128.0,118.36620330810547
B,50,20,arousal,175.0,128.0,128.0,128.0,125.57380676269531
B,50,21,valence,64.0,128.0,128.0,128.0,117.45791625976562
B,50,21,arousal,175.0,128.0,128.0,128.0,125.60353088378906
B,50,22,valence,64.0,128.0,128.0,128.0,116.34797668457031
B,50,22,arousal,175.0,128.0,128.0,128.0,125.64215850830078
B,50,23,valence,64.0,128.0,128.0,128.0,115.18355560302734
B,50,23,arousal,175.0,128.0,128.0,128.0,125.68304443359375
B,50,24,valence,64.0,128.0,128.0,128.0,113.94856262207031
B,50,24,arousal,175.0,128.0,128.0,128.0,125.7169189453125
B,50,25,valence,64.0,128.0,128.0,128.0,112.63472747802734
B,50,25,arousal,175.0,128.0,128.0,128.0,125.71502685546875
B,50,26,valence,64.0,128.0,128.0,128.0,111.22891998291016
B,50,26,arousal,175.0,128.0,128.0,128.0,125.61094665527344
B,50,27,valence,64.0,127.93494415283203,127.98699188232422,127.98699188232422,109.72151184082031
B,50,27,arousal,175.0,128.0,128.0,128.0,125.41108703613281
B,50,28,valence,57.0,127.72427368164062,127.94485473632812,127.94485473632812,108.11238861083984
B,50,28,arousal,175.0,128.0,128.0,128.0,125.01502227783203
B,50,29,valence,53.0,127.51361083984375,127.90272521972656,127.90272521972656,106.36432647705078
B,50,29,arousal,175.0,128.0,128.0,128.0,124.43169403076172
B,50,30,valence,44.0,127.30294036865234,119.06058502197266,119.06058502197266,104.46124267578125
B,50,30,arousal,175.0,128.0,128.0,128.0,123.57862854003906
B,50,31,valence,44.0,126.06084442138672,118.81216430664062,118.81216430664062,102.34428405761719
B,50,31,arousal,175.0,128.0,128.0,128.0,122.51737213134766
B,50,32,valence,44.0,124.81875610351562,118.56375122070312,118.56375122070312,99.95501708984375
B,50,32,arousal,175.0,128.0,128.0,128.0,121.2424087524414
B,50,33,valence,44.0,123.4937744140625,118.29875183105469,118.29875183105469,97.53244018554688
B,50,33,arousal,175.0,127.8512954711914,127.8512954711914,127.8512954711914,119.7593002319336
B,50,34,valence,44.0,120.91451263427734,117.78289794921875,117.78289794921875,94.96686553955078
B,50,34,arousal,175.0,127.62147521972656,127.62147521972656,127.62147521972656,118.06287384033203
B,50,35,valence,44.0,118.02684783935547,116.55082702636719,116.55082702636719,92.28492736816406
B,50,35,arousal,175.0,127.31561279296875,127.31561279296875,127.31561279296875,116.15775299072266
B,50,36,valence,44.0,114.97354125976562,114.19471740722656,114.19471740722656,89.51058197021484
B,50,36,arousal,175.0,126.74107360839844,126.74107360839844,126.74107360839844,114.15644836425781
B,50,37,valence,44.0,111.63638305664062,104.58182525634766,104.58182525634766,86.67265319824219
B,50,37,arousal,175.0,126.1665267944336,126.1665267944336,126.1665267944336,112.10726165771484
B,50,38,valence,44.0,109.20899200439453,95.54360961914062,95.54360961914062,83.78675842285156
B,50,38,arousal,175.0,125.40947723388672,125.40947723388672,125.40947723388672,110.0667724609375
B,50,39,valence,44.0,106.76915740966797,92.5538330078125,92.5538330078125,80.8586196899414
B,50,39,arousal,175.0,124.84844970703125,124.84844970703125,124.84844970703125,108.15299987792969
B,50,40,valence,44.0,104.48505401611328,89.18791961669922,89.18791961669922,77.96267700195312
B,50,40,arousal,175.0,124.33445739746094,124.33445739746094,124.33445739746094,106.37351989746094
B,50,41,valence,44.0,103.42133331298828,85.48426818847656,85.48426818847656,75.09657287597656
B,50,41,arousal,175.0,123.30928802490234,123.30928802490234,123.30928802490234,104.79222869873047
